job_id,title,company,location,work_mode,seniority,min_years,employment_type,track,required_skills,description
J0001,Frontend Engineer,Cedar Systems,Cyprus,Hybrid,Mid-level,3,full-time,frontend,HTML; Vite; Figma; Web Performance; CSS; TypeScript; Tailwind CSS,"Cedar Systems is hiring a Frontend Engineer to build and ship responsive user interfaces. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Cyprus (Hybrid). We are looking for someone with roughly 3+ years of practical experience, strong fundamentals, and clear written communication. Required: HTML, Vite, Figma, Web Performance, CSS, TypeScript, Tailwind CSS."
J0002,Software Engineer (Backend) Intern,Kanzi Commerce,"Beirut, Lebanon",On-site,Intern,0,internship,backend,OAuth2; Redis; Git; Node.js; PostgreSQL; SQL; Microservices,"Kanzi Commerce is hiring a Software Engineer (Backend) Intern to design and maintain server-side services and APIs. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Beirut, Lebanon (On-site). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: OAuth2, Redis, Git, Node.js, PostgreSQL, SQL, Microservices."
J0003,Full Stack Developer (MERN) Intern,BlueRidge Labs,Remote (MENA),Remote,Intern,0,internship,fullstack,REST APIs; React; Express; CI/CD; JavaScript; TypeScript; Testing,"BlueRidge Labs is hiring a Full Stack Developer (MERN) Intern to own features end to end across the stack. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Remote (MENA) (Remote). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: REST APIs, React, Express, CI/CD, JavaScript, TypeScript, Testing."
J0004,AI Engineer,Solaris Energy Tech,Remote (Europe timezone),Remote,Mid-level,3,full-time,data_ml,Jupyter; PyTorch; MLflow; Python; Hugging Face; Pandas; Transformers,"Solaris Energy Tech is hiring a AI Engineer to train, evaluate and deploy machine learning models. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Remote (Europe timezone) (Remote). We are looking for someone with roughly 3+ years of practical experience, strong fundamentals, and clear written communication. Required: Jupyter, PyTorch, MLflow, Python, Hugging Face, Pandas, Transformers."
J0005,BI Developer,Mount Tech Group,Remote (MENA),Remote,Mid-level,3,full-time,data_engineering,Spark; dbt; Snowflake; BigQuery; Airflow; Kafka; Data Warehousing,"Mount Tech Group is hiring a BI Developer to build reliable data pipelines and warehouse models. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Remote (MENA) (Remote). We are looking for someone with roughly 3+ years of practical experience, strong fundamentals, and clear written communication. Required: Spark, dbt, Snowflake, BigQuery, Airflow, Kafka, Data Warehousing."
J0006,Flutter Developer,Zaitoun Labs,"Amman, Jordan",Hybrid,Junior,1,full-time,mobile,REST APIs; Git; Jetpack Compose; Offline Sync; Flutter; Mobile UI; Swift,"Zaitoun Labs is hiring a Flutter Developer to build cross-platform and native mobile applications. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Amman, Jordan (Hybrid). We are looking for someone with roughly 1+ years of practical experience, strong fundamentals, and clear written communication. Required: REST APIs, Git, Jetpack Compose, Offline Sync, Flutter, Mobile UI, Swift."
J0007,Platform Engineer,Byblos Analytics,Remote (Lebanon),Remote,Junior,1,full-time,devops,Monitoring; GCP; AWS; Linux; Azure; Terraform; CI/CD,"Byblos Analytics is hiring a Platform Engineer to automate infrastructure, deployment and reliability. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Remote (Lebanon) (Remote). We are looking for someone with roughly 1+ years of practical experience, strong fundamentals, and clear written communication. Required: Monitoring, GCP, AWS, Linux, Azure, Terraform, CI/CD."
J0008,Test Automation Engineer Intern,Solaris Energy Tech,"Tripoli, Lebanon",On-site,Intern,0,internship,qa,Playwright; Selenium; BDD; CI/CD; Jira; Manual Testing; Python,"Solaris Energy Tech is hiring a Test Automation Engineer Intern to design test strategy and automate regression coverage. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Tripoli, Lebanon (On-site). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: Playwright, Selenium, BDD, CI/CD, Jira, Manual Testing, Python."
J0009,Application Security Engineer,Phoenicia Software,Remote (Lebanon),Remote,Mid-level,3,full-time,security,Network Security; ISO 27001; Cryptography; Incident Response; OWASP Top 10; Linux; Cloud Security,"Phoenicia Software is hiring a Application Security Engineer to protect systems and respond to security incidents. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Remote (Lebanon) (Remote). We are looking for someone with roughly 3+ years of practical experience, strong fundamentals, and clear written communication. Required: Network Security, ISO 27001, Cryptography, Incident Response, OWASP Top 10, Linux, Cloud Security."
J0010,Junior Firmware Engineer,Kanzi Commerce,"Jounieh, Lebanon",Hybrid,Mid-level,3,full-time,embedded,PCB Basics; I2C/SPI; ARM Cortex; Linux; Zephyr; Embedded C; Microcontrollers,"Kanzi Commerce is hiring a Junior Firmware Engineer to develop firmware for constrained hardware platforms. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Jounieh, Lebanon (Hybrid). We are looking for someone with roughly 3+ years of practical experience, strong fundamentals, and clear written communication. Required: PCB Basics, I2C/SPI, ARM Cortex, Linux, Zephyr, Embedded C, Microcontrollers."
J0011,React Developer Intern,Orbit Logistics,"Beirut, Lebanon",Hybrid,Intern,0,internship,frontend,TypeScript; Jest; Web Performance; Next.js; CSS; Redux; Accessibility (WCAG),"Orbit Logistics is hiring a React Developer Intern to build and ship responsive user interfaces. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Beirut, Lebanon (Hybrid). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: TypeScript, Jest, Web Performance, Next.js, CSS, Redux, Accessibility (WCAG)."
J0012,Software Engineer (Backend) Intern,BlueRidge Labs,Cyprus,Hybrid,Intern,0,internship,backend,Microservices; Redis; Celery; Django; PostgreSQL; Express; Docker,"BlueRidge Labs is hiring a Software Engineer (Backend) Intern to design and maintain server-side services and APIs. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Cyprus (Hybrid). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: Microservices, Redis, Celery, Django, PostgreSQL, Express, Docker."
J0013,Full Stack Engineer,Orbit Logistics,"Riyadh, Saudi Arabia",On-site,Junior,1,full-time,fullstack,Express; Git; PostgreSQL; Next.js; JavaScript; Supabase; Node.js,"Orbit Logistics is hiring a Full Stack Engineer to own features end to end across the stack. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Riyadh, Saudi Arabia (On-site). We are looking for someone with roughly 1+ years of practical experience, strong fundamentals, and clear written communication. Required: Express, Git, PostgreSQL, Next.js, JavaScript, Supabase, Node.js."
J0014,NLP Engineer,Anfeh Digital,"Riyadh, Saudi Arabia",On-site,Junior,1,full-time,data_ml,Computer Vision; Deep Learning; Machine Learning; Pandas; SQL; MLflow; scikit-learn,"Anfeh Digital is hiring a NLP Engineer to train, evaluate and deploy machine learning models. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Riyadh, Saudi Arabia (On-site). We are looking for someone with roughly 1+ years of practical experience, strong fundamentals, and clear written communication. Required: Computer Vision, Deep Learning, Machine Learning, Pandas, SQL, MLflow, scikit-learn."
J0015,Data Engineer,OpenField Analytics,"Amman, Jordan",Hybrid,Junior,1,full-time,data_engineering,Data Warehousing; Kafka; Python; Spark; ETL; BigQuery; SQL,"OpenField Analytics is hiring a Data Engineer to build reliable data pipelines and warehouse models. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Amman, Jordan (Hybrid). We are looking for someone with roughly 1+ years of practical experience, strong fundamentals, and clear written communication. Required: Data Warehousing, Kafka, Python, Spark, ETL, BigQuery, SQL."
J0016,Android Engineer Intern,Jounieh Digital,"Jounieh, Lebanon",Hybrid,Intern,0,internship,mobile,Dart; App Store Deployment; Mobile UI; Flutter; Push Notifications; Firebase; SwiftUI,"Jounieh Digital is hiring a Android Engineer Intern to build cross-platform and native mobile applications. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Jounieh, Lebanon (Hybrid). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: Dart, App Store Deployment, Mobile UI, Flutter, Push Notifications, Firebase, SwiftUI."
J0017,Platform Engineer Intern,Beirut Data Labs,"Tripoli, Lebanon",On-site,Intern,0,internship,devops,Docker; Nginx; Bash; AWS; Terraform; Azure; Grafana,"Beirut Data Labs is hiring a Platform Engineer Intern to automate infrastructure, deployment and reliability. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Tripoli, Lebanon (On-site). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: Docker, Nginx, Bash, AWS, Terraform, Azure, Grafana."
J0018,Test Automation Engineer,Beirut Data Labs,Remote (Europe timezone),Remote,Junior,1,full-time,qa,CI/CD; Python; Test Cases; Postman; Test Automation; Jira; BDD,"Beirut Data Labs is hiring a Test Automation Engineer to design test strategy and automate regression coverage. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Remote (Europe timezone) (Remote). We are looking for someone with roughly 1+ years of practical experience, strong fundamentals, and clear written communication. Required: CI/CD, Python, Test Cases, Postman, Test Automation, Jira, BDD."
J0019,Security Engineer Intern,Kanzi Commerce,"Beirut, Lebanon",Hybrid,Intern,0,internship,security,Burp Suite; ISO 27001; Incident Response; Penetration Testing; Cryptography; SIEM; Python,"Kanzi Commerce is hiring a Security Engineer Intern to protect systems and respond to security incidents. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Beirut, Lebanon (Hybrid). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: Burp Suite, ISO 27001, Incident Response, Penetration Testing, Cryptography, SIEM, Python."
J0020,IoT Engineer,Zaitoun Labs,Remote (Lebanon),Remote,Mid-level,3,full-time,embedded,Embedded C; Microcontrollers; Low-power Design; I2C/SPI; Zephyr; Python; RTOS,"Zaitoun Labs is hiring a IoT Engineer to develop firmware for constrained hardware platforms. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Remote (Lebanon) (Remote). We are looking for someone with roughly 3+ years of practical experience, strong fundamentals, and clear written communication. Required: Embedded C, Microcontrollers, Low-power Design, I2C/SPI, Zephyr, Python, RTOS."
J0021,UI Engineer,Byblos Analytics,Remote (MENA),Remote,Mid-level,3,full-time,frontend,React; HTML; Tailwind CSS; TypeScript; GraphQL; Storybook; Jest,"Byblos Analytics is hiring a UI Engineer to build and ship responsive user interfaces. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Remote (MENA) (Remote). We are looking for someone with roughly 3+ years of practical experience, strong fundamentals, and clear written communication. Required: React, HTML, Tailwind CSS, TypeScript, GraphQL, Storybook, Jest."
J0022,Backend Engineer,Byblos Analytics,Remote (Lebanon),Remote,Mid-level,3,full-time,backend,Node.js; Redis; Docker; RabbitMQ; Git; REST APIs; OAuth2,"Byblos Analytics is hiring a Backend Engineer to design and maintain server-side services and APIs. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Remote (Lebanon) (Remote). We are looking for someone with roughly 3+ years of practical experience, strong fundamentals, and clear written communication. Required: Node.js, Redis, Docker, RabbitMQ, Git, REST APIs, OAuth2."
J0023,Full Stack Engineer,Levant Cloud,"Amman, Jordan",Hybrid,Junior,1,full-time,fullstack,CI/CD; REST APIs; JavaScript; React; Git; Supabase; MongoDB,"Levant Cloud is hiring a Full Stack Engineer to own features end to end across the stack. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Amman, Jordan (Hybrid). We are looking for someone with roughly 1+ years of practical experience, strong fundamentals, and clear written communication. Required: CI/CD, REST APIs, JavaScript, React, Git, Supabase, MongoDB."
J0024,Machine Learning Engineer Intern,Harbor Cloud,"Tripoli, Lebanon",On-site,Intern,0,internship,data_ml,NumPy; Computer Vision; MLflow; SQL; Transformers; Deep Learning; Python,"Harbor Cloud is hiring a Machine Learning Engineer Intern to train, evaluate and deploy machine learning models. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Tripoli, Lebanon (On-site). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: NumPy, Computer Vision, MLflow, SQL, Transformers, Deep Learning, Python."
J0025,Analytics Engineer Intern,OpenField Analytics,"Beirut, Lebanon",Hybrid,Intern,0,internship,data_engineering,Snowflake; Data Warehousing; Spark; dbt; BigQuery; Pandas; Data Modeling,"OpenField Analytics is hiring a Analytics Engineer Intern to build reliable data pipelines and warehouse models. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Beirut, Lebanon (Hybrid). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: Snowflake, Data Warehousing, Spark, dbt, BigQuery, Pandas, Data Modeling."
J0026,Android Engineer,Cornet Software,"Amman, Jordan",Hybrid,Mid-level,3,full-time,mobile,React Native; Mobile UI; Push Notifications; Kotlin; REST APIs; Swift; Offline Sync,"Cornet Software is hiring a Android Engineer to build cross-platform and native mobile applications. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Amman, Jordan (Hybrid). We are looking for someone with roughly 3+ years of practical experience, strong fundamentals, and clear written communication. Required: React Native, Mobile UI, Push Notifications, Kotlin, REST APIs, Swift, Offline Sync."
J0027,Site Reliability Engineer,Zaitoun Labs,"Jounieh, Lebanon",Hybrid,Junior,1,full-time,devops,Docker; Terraform; Grafana; AWS; Monitoring; Ansible; Bash,"Zaitoun Labs is hiring a Site Reliability Engineer to automate infrastructure, deployment and reliability. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Jounieh, Lebanon (Hybrid). We are looking for someone with roughly 1+ years of practical experience, strong fundamentals, and clear written communication. Required: Docker, Terraform, Grafana, AWS, Monitoring, Ansible, Bash."
J0028,QA Engineer Intern,Nasma Technologies,"Tripoli, Lebanon",On-site,Intern,0,internship,qa,JMeter; Postman; Manual Testing; Python; API Testing; Test Automation; CI/CD,"Nasma Technologies is hiring a QA Engineer Intern to design test strategy and automate regression coverage. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Tripoli, Lebanon (On-site). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: JMeter, Postman, Manual Testing, Python, API Testing, Test Automation, CI/CD."
J0029,Security Engineer,Harbor Cloud,"Dubai, UAE",On-site,Junior,1,full-time,security,Linux; Firewalls; Burp Suite; Network Security; ISO 27001; Cryptography; Python,"Harbor Cloud is hiring a Security Engineer to protect systems and respond to security incidents. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Dubai, UAE (On-site). We are looking for someone with roughly 1+ years of practical experience, strong fundamentals, and clear written communication. Required: Linux, Firewalls, Burp Suite, Network Security, ISO 27001, Cryptography, Python."
J0030,IoT Engineer,OpenField Analytics,"Dubai, UAE",On-site,Mid-level,3,full-time,embedded,MQTT; ARM Cortex; C++; Microcontrollers; I2C/SPI; Hardware Debugging; CAN Bus,"OpenField Analytics is hiring a IoT Engineer to develop firmware for constrained hardware platforms. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Dubai, UAE (On-site). We are looking for someone with roughly 3+ years of practical experience, strong fundamentals, and clear written communication. Required: MQTT, ARM Cortex, C++, Microcontrollers, I2C/SPI, Hardware Debugging, CAN Bus."
J0031,UI Engineer,Anfeh Digital,"Dubai, UAE",On-site,Junior,1,full-time,frontend,HTML; Next.js; Redux; Jest; Tailwind CSS; Accessibility (WCAG); Storybook,"Anfeh Digital is hiring a UI Engineer to build and ship responsive user interfaces. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Dubai, UAE (On-site). We are looking for someone with roughly 1+ years of practical experience, strong fundamentals, and clear written communication. Required: HTML, Next.js, Redux, Jest, Tailwind CSS, Accessibility (WCAG), Storybook."
J0032,Node.js Developer Intern,OpenField Analytics,Remote (Lebanon),Remote,Intern,0,internship,backend,Git; RabbitMQ; REST APIs; Celery; Python; PostgreSQL; Redis,"OpenField Analytics is hiring a Node.js Developer Intern to design and maintain server-side services and APIs. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Remote (Lebanon) (Remote). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: Git, RabbitMQ, REST APIs, Celery, Python, PostgreSQL, Redis."
J0033,Product Engineer,NorthStar Remote,"Dubai, UAE",On-site,Mid-level,3,full-time,fullstack,Supabase; JavaScript; Node.js; REST APIs; Git; Tailwind CSS; React,"NorthStar Remote is hiring a Product Engineer to own features end to end across the stack. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Dubai, UAE (On-site). We are looking for someone with roughly 3+ years of practical experience, strong fundamentals, and clear written communication. Required: Supabase, JavaScript, Node.js, REST APIs, Git, Tailwind CSS, React."
J0034,NLP Engineer Intern,Byblos Analytics,"Dubai, UAE",Hybrid,Intern,0,internship,data_ml,Deep Learning; LLM Fine-tuning; Transformers; Jupyter; RAG; Pandas; SQL,"Byblos Analytics is hiring a NLP Engineer Intern to train, evaluate and deploy machine learning models. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Dubai, UAE (Hybrid). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: Deep Learning, LLM Fine-tuning, Transformers, Jupyter, RAG, Pandas, SQL."
J0035,BI Developer,BlueRidge Labs,"Jounieh, Lebanon",Hybrid,Junior,1,full-time,data_engineering,Tableau; Python; Spark; Pandas; PostgreSQL; Power BI; dbt,"BlueRidge Labs is hiring a BI Developer to build reliable data pipelines and warehouse models. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Jounieh, Lebanon (Hybrid). We are looking for someone with roughly 1+ years of practical experience, strong fundamentals, and clear written communication. Required: Tableau, Python, Spark, Pandas, PostgreSQL, Power BI, dbt."
J0036,Flutter Developer,Levant Cloud,"Tripoli, Lebanon",On-site,Junior,1,full-time,mobile,Dart; React Native; Swift; Offline Sync; REST APIs; Push Notifications; Mobile UI,"Levant Cloud is hiring a Flutter Developer to build cross-platform and native mobile applications. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Tripoli, Lebanon (On-site). We are looking for someone with roughly 1+ years of practical experience, strong fundamentals, and clear written communication. Required: Dart, React Native, Swift, Offline Sync, REST APIs, Push Notifications, Mobile UI."
J0037,Platform Engineer Intern,Batroun Bytes,Remote (Europe timezone),Remote,Intern,0,internship,devops,Monitoring; Docker; Grafana; Bash; AWS; Nginx; Azure,"Batroun Bytes is hiring a Platform Engineer Intern to automate infrastructure, deployment and reliability. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Remote (Europe timezone) (Remote). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: Monitoring, Docker, Grafana, Bash, AWS, Nginx, Azure."
J0038,Quality Engineer,NorthStar Remote,"Beirut, Lebanon",On-site,Junior,1,full-time,qa,Test Cases; CI/CD; Python; Postman; Jira; Performance Testing; Selenium,"NorthStar Remote is hiring a Quality Engineer to design test strategy and automate regression coverage. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Beirut, Lebanon (On-site). We are looking for someone with roughly 1+ years of practical experience, strong fundamentals, and clear written communication. Required: Test Cases, CI/CD, Python, Postman, Jira, Performance Testing, Selenium."
J0039,SOC Analyst Intern,Byblos Analytics,"Dubai, UAE",Hybrid,Intern,0,internship,security,Linux; Wireshark; Network Security; Threat Modeling; Python; Cloud Security; SIEM,"Byblos Analytics is hiring a SOC Analyst Intern to protect systems and respond to security incidents. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Dubai, UAE (Hybrid). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: Linux, Wireshark, Network Security, Threat Modeling, Python, Cloud Security, SIEM."
J0040,Embedded Systems Developer Intern,Cedar Systems,Cyprus,Hybrid,Intern,0,internship,embedded,C++; ARM Cortex; Zephyr; Hardware Debugging; C; Python; Low-power Design,"Cedar Systems is hiring a Embedded Systems Developer Intern to develop firmware for constrained hardware platforms. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Cyprus (Hybrid). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: C++, ARM Cortex, Zephyr, Hardware Debugging, C, Python, Low-power Design."
J0041,React Developer Intern,NorthStar Remote,"Amman, Jordan",Hybrid,Intern,0,internship,frontend,Next.js; GraphQL; Tailwind CSS; HTML; TypeScript; Accessibility (WCAG); React,"NorthStar Remote is hiring a React Developer Intern to build and ship responsive user interfaces. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a internship position based in Amman, Jordan (Hybrid). We are looking for someone with roughly 0+ years of practical experience, strong fundamentals, and clear written communication. Required: Next.js, GraphQL, Tailwind CSS, HTML, TypeScript, Accessibility (WCAG), React."
J0042,Backend Engineer,Chouf Robotics,Remote (Europe timezone),Remote,Mid-level,3,full-time,backend,Git; Python; gRPC; Redis; Django; PostgreSQL; RabbitMQ,"Chouf Robotics is hiring a Backend Engineer to design and maintain server-side services and APIs. You will collaborate with a small product team, take ownership of scoped deliverables, and contribute to code review and technical documentation. This is a full-time position based in Remote (Europe timezone) (Remote). We are looking for someone with roughly 3+ years of practical experience, strong fundamentals, and clear written communication. Required: Git, Python, gRPC, Redis, Django, PostgreSQL, RabbitMQ."
